Y,X,PC_4,Year,Gemeente code,Provincie code,Provincie name,Gemeente name
52.4397273815,6.18747104056,8144,2020,177,23,Overijssel,Raalte
52.5548572282,5.87701119129,8264,2020,166,23,Overijssel,Kampen
52.7253145741,5.64469737215,8311,2020,171,24,Flevoland,Noordoostpolder
52.7895412047,6.06242466167,8341,2020,1708,23,Overijssel,Steenwijkerland
52.798648311,5.92066849531,8376,2020,1708,23,Overijssel,Steenwijkerland
53.0218387744,6.09970677588,8408,2020,86,21,Fryslân,Opsterland
53.0067011336,5.84371929635,8467,2020,1940,21,Fryslân,De Fryske Marren
52.9892594867,5.79379204229,8505,2020,1940,21,Fryslân,De Fryske Marren
52.9483258628,5.60188511422,8553,2020,1900,21,Fryslân,Súdwest-Fryslân
53.0335019916,5.68987052972,8604,2020,1900,21,Fryslân,Súdwest-Fryslân
53.0467122177,5.63477925851,8633,2020,1900,21,Fryslân,Súdwest-Fryslân
52.9740020739,5.43471341179,8711,2020,1900,21,Fryslân,Súdwest-Fryslân
53.082941191,5.48467082452,8744,2020,1900,21,Fryslân,Súdwest-Fryslân
52.9871369445,5.4908992747,8775,2020,1900,21,Fryslân,Súdwest-Fryslân
53.1649293852,5.51962312031,8805,2020,1949,21,Fryslân,Waadhoeke
53.2019926711,5.78208480261,8913,2020,80,21,Fryslân,Leeuwarden
53.218415117,5.8693372676,8926,2020,80,21,Fryslân,Leeuwarden
53.1478701898,5.70528903569,9023,2020,80,21,Fryslân,Leeuwarden
53.2385604999,5.64266040885,9041,2020,1949,21,Fryslân,Waadhoeke
53.3277626092,6.14848225396,9132,2020,1970,21,Fryslân,Noardeast-Fryslân
53.4937427728,6.23306682064,9166,2020,88,21,Fryslân,Schiermonnikoog
53.3482433842,5.87520453903,9171,2020,1970,21,Fryslân,Noardeast-Fryslân
53.2005363044,5.89483924147,9255,2020,737,21,Fryslân,Tytsjerksteradiel
53.0041784098,6.51547636846,9408,2020,106,22,Drenthe,Assen
